"ID","Length","Denticles","Three_phase_assignment"
"SP_LI_LI-8_16",476.458350350836,10,"Phase 2: late juvenile / subadult"
"SP_LI_LI-8_18",462.880586625027,8,"Phase 2: late juvenile / subadult"
"SP_LI_LI-8_2",407.265802190785,7,"Phase 2: late juvenile / subadult"
"SP_LI_LI-8_20",444.562103719246,8,"Phase 2: late juvenile / subadult"
"SP_LI_LI-8_21",477.785287053756,7,"Phase 2: late juvenile / subadult"
"SP_LI_LI-8_22",492.007654857242,10,"Phase 2: late juvenile / subadult"
"SP_LI_LI-8_23",496.731069280513,8,"Phase 2: late juvenile / subadult"
"SP_LI_LI-8_24",494.572555507661,8,"Phase 2: late juvenile / subadult"
"SP_LI_LI-8_27",452.177916072661,7,"Phase 2: late juvenile / subadult"
"SP_LI_LI-8_28",405.364330740993,8,"Phase 2: late juvenile / subadult"
"SP_LI_LI-8_3",462.142622474358,9,"Phase 2: late juvenile / subadult"
"SP_LI_LI-8_30",443.171655543312,8,"Phase 2: late juvenile / subadult"
"SP_LI_LI-8_33",436.428684581898,10,"Phase 2: late juvenile / subadult"
"SP_LI_LI-8_34",337.089402531383,5,"Phase 2: late juvenile / subadult"
"SP_LI_LI-8_35",398.789995170157,7,"Phase 2: late juvenile / subadult"
"SP_LI_LI-8_36",456.261945105879,8,"Phase 2: late juvenile / subadult"
"SP_LI_LI-8_37",321.4716539973,7,"Phase 2: late juvenile / subadult"
"SP_LI_LI-8_38",391.953127128776,7,"Phase 2: late juvenile / subadult"
"SP_LI_LI-8_39",392.263561019748,7,"Phase 2: late juvenile / subadult"
"SP_LI_LI-8_4",712.455168712622,7,"Phase 3: likely adult"
"SP_LI_LI-8_40",426.51347955648,8,"Phase 2: late juvenile / subadult"
"SP_LI_LI-8_41",429.53985755111,8,"Phase 2: late juvenile / subadult"
"SP_LI_LI-8_42",448.401090396634,9,"Phase 2: late juvenile / subadult"
"SP_LI_LI-8_43",444.360917757377,7,"Phase 2: late juvenile / subadult"
"SP_LI_LI-8_44",378.771803313014,9,"Phase 2: late juvenile / subadult"
"SP_LI_LI-8_47",375.308770219383,7,"Phase 2: late juvenile / subadult"
"SP_LI_LI-8_48",363.14676385176,7,"Phase 2: late juvenile / subadult"
"SP_LI_LI-8_49",380.488920279926,7,"Phase 2: late juvenile / subadult"
"SP_LI_LI-8_5",403.098919417732,9,"Phase 2: late juvenile / subadult"
"SP_LI_LI-8_50",515.252515596359,8,"Phase 2: late juvenile / subadult"
"SP_LI_LI-8_51",416.792093000534,8,"Phase 2: late juvenile / subadult"
"SP_LI_LI-8_52",358.199641091575,7,"Phase 2: late juvenile / subadult"
"SP_LI_LI-8_53",350.406155291251,6,"Phase 2: late juvenile / subadult"
"SP_LI_LI-8_54",338.072276535514,6,"Phase 2: late juvenile / subadult"
"SP_LI_LI-8_55",378.281504884689,7,"Phase 2: late juvenile / subadult"
"SP_LI_LI-8_56",419.299570703155,8,"Phase 2: late juvenile / subadult"
"SP_LI_LI-8_57",326.772102709665,7,"Phase 2: late juvenile / subadult"
"SP_LI_LI-8_58",319.789765794097,7,"Phase 2: late juvenile / subadult"
"SP_LI_LI-8_60",303.823801979744,6,"Phase 2: late juvenile / subadult"
"SP_LI_LI-8_61",408.186185060644,8,"Phase 2: late juvenile / subadult"
"SP_LI_LI-8_62",409.616770891525,7,"Phase 2: late juvenile / subadult"
"SP_LI_LI-8_64",342.905539738408,7,"Phase 2: late juvenile / subadult"
"SP_LI_LI-8_65",304.477567003213,7,"Phase 2: late juvenile / subadult"
"SP_LI_LI-8_66",334.305613172924,6,"Phase 2: late juvenile / subadult"
"SP_LI_LI-8_67",417.589582425623,8,"Phase 2: late juvenile / subadult"
"SP_LI_LI-8_68",350.668707913536,8,"Phase 2: late juvenile / subadult"
"SP_LI_LI-8_70",349.521621728922,7,"Phase 2: late juvenile / subadult"
